date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,DOW,XOM,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT,DIA,SPY
2010-08-19 00:00:00+00:00,57.6448236482,34.1844908835,39.5447989337,7.5966875611,51.2311079561,49.7087709465,46.6224301357,15.6636254272,18.8045221074,28.9124945759,,36.7011750265,120.2663296311,21.0985205719,30.0609250786,80.2161611957,12.9998891067,40.8833339252,26.4867246598,51.378912488,21.651228326,18.971273131,15.4268580842,41.4473148023,24.1025,36.8571818045,26.3536812303,16.4661049357,16.378459568,20.1380867339,37.878758866,77.9959827783,84.889815059
2010-08-20 00:00:00+00:00,56.8345125958,34.0175744241,39.2597643435,7.5893912388,51.215251841,49.4002881711,46.1367798218,15.6706747636,18.8113254801,28.7905376841,,36.4535705399,121.2395831657,21.0611383596,29.9650722392,79.3449228274,13.0067673549,40.8972587664,26.5367400557,51.4563645967,21.482809091,18.80826301,15.4095585517,41.3027071248,28.1875,37.0420593215,26.2044625256,16.3271270075,16.028619513,20.345474701,37.9998256143,77.5902613891,84.6144031636
2010-08-23 00:00:00+00:00,57.1304522845,33.5502083378,38.967228843,7.4726500821,50.1846043581,47.9511365285,46.1367798218,15.2829612629,18.9133760704,28.6860032053,,36.831167382,120.012792996,20.8069393166,29.6111540632,78.7039403135,12.8623241426,40.9877702346,26.3509685852,51.6394332173,21.8134098116,18.8470749436,15.3425228633,41.3371375242,28.07,36.7832307976,26.1132733172,16.349363476,16.0331925856,20.3669286286,38.6959594168,77.3015958386,84.2917778005
2010-08-24 00:00:00+00:00,56.6865427515,33.0244214907,38.2996478292,7.2941941994,48.3056547163,46.6598132827,45.3560508362,14.8952477622,18.9337861884,27.997817887,,36.4845211007,117.7309632805,20.7695571044,29.0065438457,77.7269087148,12.6594158205,40.3890020606,25.8722497959,51.2028849682,21.482809091,18.6607776624,15.147903123,41.0823525686,28.3225,36.4282659648,25.7319366275,16.3827181788,16.1566655462,19.9879092405,38.8170261651,76.2684770263,83.0406209045
2010-08-25 00:00:00+00:00,56.8979282434,33.216375419,38.8847188301,7.3841821743,48.1708777377,46.4158966696,45.5343275337,14.9516424532,18.8419406572,27.9716842673,,36.4659507642,118.328001163,21.1807614387,28.6231324883,77.9571645693,12.7110026821,40.3681147987,25.886539909,51.5338167054,21.5451865855,18.7073519827,15.1652026555,41.0892386485,28.0475,36.6205385826,26.4946100069,16.4883414042,16.2023962724,19.6661003261,39.0061929593,76.4280027253,83.3632462676
2010-08-26 00:00:00+00:00,56.2144484862,33.1579546582,38.2021359957,7.3048346694,48.6148489611,45.8778453172,45.0794145814,14.592126298,18.7637018713,27.8235937558,,36.1997759411,115.9807426384,21.2181436509,28.5346529443,76.4076048999,12.5046552359,40.2427912274,25.4578365155,51.5126934031,21.5077600888,18.4900051547,15.221426136,40.9997196101,27.46,36.2581786491,26.4034207985,16.3993955302,15.9851753232,19.4086531946,38.5673259968,75.9114433191,82.8045535656
2010-08-27 00:00:00+00:00,57.07408282,34.1427617686,39.0647406765,7.3455724688,50.0736115523,47.2767788335,46.0630101539,14.6696689982,19.1038705056,28.5553351069,,37.0168707469,114.2959508055,21.4872955788,29.2351160011,77.6211154844,12.6353419518,40.4795135288,26.1509070016,52.0971047689,21.83212306,18.5753914086,15.3403604218,41.178757687,27.87,36.8793671065,26.8344970565,16.5884055125,16.2595596801,19.5373767603,38.5900260121,77.1648595253,84.0871861068
2010-08-30 00:00:00+00:00,56.1228481063,33.2914878257,38.7271997145,7.3723256506,49.2332374508,46.2508942549,45.3560508362,14.3242515158,18.8963676387,28.1807532248,,36.5216617737,112.0550140956,20.9265623957,28.6526256697,76.7934390345,12.3533337754,40.2686827291,25.6150277598,51.6042277134,21.6637038249,18.3502821938,15.2149388113,40.8826562521,27.2925,36.1990178437,26.4531603668,16.3660408274,15.9005734798,19.4444097406,38.2495257826,76.0937584037,82.867504856
2010-08-31 00:00:00+00:00,55.3477679693,33.2747961798,38.2846460086,7.3905664563,48.4642158675,46.7459014991,45.540475006,14.0880987472,19.0094737096,28.3462661494,,36.5897530075,112.276401874,20.9760938269,28.8000915764,76.625414492,12.1504254534,40.0719073162,25.9794256442,51.831246587,21.9319270511,18.2144404263,15.1370909152,41.0892386485,27.47,36.2285982464,26.295651734,16.4160728815,15.7725274466,19.2227191551,37.9392922401,76.1165477892,82.867504856
2010-09-01 00:00:00+00:00,57.0811290031,34.2762949361,39.4472871002,7.6103681654,49.3838705445,48.8981069088,47.1941450623,14.2819554975,19.4950644351,29.1912531859,,37.7039731973,114.5804746796,21.6169881386,30.1420313272,78.2683211294,12.4771422431,40.9644243679,26.9654434492,52.8812088776,22.2188635256,18.5521042484,15.5976909673,41.178757687,29.1,37.2047515366,27.0168754733,16.8218884319,16.1269405742,19.8019752011,38.7413594474,78.0916278716,85.3462119142
2010-09-02 00:00:00+00:00,57.6871007466,34.1177242997,39.3872798181,7.6663066363,50.2559568761,49.170719594,47.6121731806,14.4652382433,19.5188762395,29.5397014483,,37.7968248797,114.613272869,22.1749431865,30.9752137,77.8140325516,12.573437718,41.1893105542,27.2655358246,53.221737188,22.0504442906,18.5831537953,15.8355595389,41.3646818437,29.78,37.1381956304,27.2407035303,16.738501675,16.4584883388,20.2382050629,39.1650930664,78.4562580406,86.140971955
2010-09-03 00:00:00+00:00,58.8215362199,34.8855400129,39.6873162288,7.8669554994,51.2469640712,50.275518371,47.9502841586,14.8318037348,19.5801065937,30.2017531469,,37.957767796,120.7711329294,22.506700242,31.5724506221,79.394707877,12.676611441,41.4141967405,27.987186537,53.2713975666,22.2001502773,18.8548373303,16.1155468169,41.5161756011,29.9075,37.7371987857,28.1111459742,16.7885337292,16.5773882267,20.2382050629,39.3769598759,79.4437980818,87.258357359
2010-09-07 00:00:00+00:00,57.8773476893,33.4584042851,39.3872798181,7.8377702102,50.2797410488,50.0029056858,47.3662742874,14.5075342615,19.6039183981,29.4787230024,,37.4811291593,119.0656270805,22.1146237219,30.9162273374,78.380337491,12.4633857467,41.2525597941,27.3512765033,53.7750956925,22.1190595345,18.5986785687,16.0656266045,41.4128844029,29.9125,37.0716397243,28.0033769097,16.7996519634,16.348734596,20.3740799378,39.2407597841,78.6689589726,86.2747434471
2010-09-08 00:00:00+00:00,58.3071648562,33.4417126392,39.7098189596,7.9931210724,51.1359712654,50.7490035612,47.489223734,14.5498302798,19.671952125,29.4787230024,,37.6049314026,120.9761216132,22.2051029188,31.1079330161,78.4612381967,12.3120642862,41.3579751939,27.9514612542,53.9737372069,22.3373807651,18.5753914086,16.0916719327,41.5712642402,29.9475,37.1381956304,28.061406406,16.9330707745,15.6742063854,20.5028035036,39.2180597688,78.9880103705,86.8806496168
2010-09-09 00:00:00+00:00,58.4551347006,33.9591536633,40.3473963324,7.9976812738,50.295597164,50.6772633808,47.5568459296,14.5286822707,19.8284296968,29.6877919598,,37.7906347676,122.2880491893,22.1749431865,30.9457205187,78.6354858703,12.3808467682,42.039661446,28.6516767968,52.7606051009,22.5058000001,18.6374905023,16.0439221644,41.5161756011,29.4125,37.4435839218,28.2023351826,17.1443172254,15.2694894591,20.5385600497,39.2785931429,79.1931148406,87.2819640929
2010-09-10 00:00:00+00:00,59.1456606409,33.5418625148,40.7674473074,8.0080177304,50.6127194664,51.1220524988,48.4543768895,14.535731607,19.9066684827,29.7487704058,,37.88348645,123.3129926082,22.3785213796,31.5650773268,79.6498562563,12.3602120236,42.1521045392,28.4087448739,53.2146428482,22.8613517185,18.5132923149,16.0070246161,41.5919224798,29.355,37.2871655287,28.6955859008,17.1331989912,15.5690257153,20.7101914707,39.3239931735,79.5957273189,87.7226231255
2010-09-13 00:00:00+00:00,59.7939094828,34.4014822807,40.8049518587,8.1183746051,50.890201481,51.825106266,48.7187181996,14.9868891351,19.889660051,29.8533048845,,37.7596842067,126.5764124538,22.6122593051,31.9263687982,80.658003511,12.7643091056,42.3910461121,29.3804725657,52.902491897,22.8301629713,19.4913530409,16.2088759096,41.6470111189,29.6475,37.5702083353,28.8869452733,17.1776719282,14.9722397391,20.7817045628,39.5055932959,80.271812424,88.6983681262
2010-09-14 00:00:00+00:00,59.6318472723,33.7004331512,40.8912123268,8.1493839748,49.7564892498,51.5309715267,48.8785524801,15.1208265262,19.7388509794,29.6616583402,,37.7658743189,125.0676957412,22.5971794389,32.1033278862,80.1850455396,12.8898371354,42.5737661384,29.0946703034,52.4555484895,23.0192587441,19.4292539472,16.3369321065,41.757188397,29.445,38.0022210402,28.7954255734,17.1832310453,15.3472316935,20.8961255101,39.8460935254,80.0970938014,88.6432857471
2010-09-15 00:00:00+00:00,59.596616357,34.0926868308,41.4800337829,8.2150508755,49.7327050772,51.7461920677,48.6941283103,15.2195172355,19.6805838381,29.8010376451,,37.7596842067,125.0922943833,22.5745596397,32.1254477722,80.5459871494,12.876080639,42.9040677245,29.2804417739,53.0018126542,23.0129555517,19.4952342343,16.6169193845,42.0808341513,29.2025,39.0971497922,28.512546501,17.3388863249,15.7610947651,20.8889742009,39.9974269608,80.4769168941,88.9816489328
2010-09-16 00:00:00+00:00,59.8573251304,34.1844908835,41.3300155775,8.4080994028,49.6137842137,51.6529298332,48.595768753,15.4591946723,19.7114311482,29.7661928189,,37.7411138702,124.8217093207,22.5820995728,32.2434204976,80.6953422982,13.0480368441,43.0727323642,29.2875868305,53.0656617124,22.9625300123,19.6621255486,16.6342829367,42.0808341513,29.23,39.2535681854,28.4875865829,17.4667460189,15.6353352682,20.824612418,40.216860442,80.6668284405,88.9580421989
2010-09-17 00:00:00+00:00,60.6464976335,34.5266696252,41.4200265007,8.3716177914,49.9071223435,52.4994639611,48.2330678857,15.4116116517,19.7285685427,30.1059298748,,37.6235017391,123.7967659019,22.5368599743,32.3097801556,81.0189451207,12.9379848728,43.2695077772,28.6230965706,52.7251334019,22.899498088,19.5767392948,16.7688504656,41.984429033,29.185,39.2312227006,28.396066883,17.6112830642,15.6604871676,20.8889742009,40.1109270373,80.7207861091,88.9911939222
2010-09-20 00:00:00+00:00,61.5906861641,35.9871886449,41.9601670491,8.6105723465,50.5175827756,53.6257847922,49.1183039009,15.3322361241,19.8690951776,30.4021108978,,38.1001403758,124.5511242581,23.1098948883,32.671071627,82.0146461131,13.0205926337,43.6349478299,29.4304879617,53.2855862462,23.031865129,19.7397494158,17.0097697514,42.3011887075,30.785,39.8941387478,29.0616647004,17.8392068665,16.0766367755,20.9104281286,40.5119606409,81.8242568346,90.3518913491
